"species","regime","depth","atom13C"
"Poritis asteriodes","N3",20,1.187
"Madracis mirabilis","N3",20,1.227
"Aka","N3",20,1.084
"CCA","N3",20,1.243
"Lobophora variegata","C",20,1.088
"Dictyota pinnatifida","C",20,1.086
"Halimeda opuntia","C",20,1.081
"Turfalgae","C",20,1.079
"Red mat","C",20,1.094
"Red hairy","C",20,1.081
"Black balls","C",20,1.097
"Orange mat","C",20,1.08
"Poritis asteriodes","C",20,1.084
"Madracis mirabilis","C",20,1.086
"Aka","C",20,1.085
"CCA","C",20,1.086
"Lobophora variegata","N1",30,1.249
"Dictyota pinnatifida","N1",30,1.374
"Halimeda opuntia","N1",30,"NA"
"Turfalgae","N1",30,1.246
"Red mat","N1",30,1.362
"Red hairy","N1",30,1.569
"Black balls","N1",30,1.277
"Orange mat","N1",30,1.358
"Poritis asteriodes","N1",30,1.301
"Madracis mirabilis","N1",30,"NA"
"Aka","N1",30,1.085
"CCA","N1",30,1.175
"Lobophora variegata","N2",30,1.211
"Dictyota pinnatifida","N2",30,1.375
"Halimeda opuntia","N2",30,"NA"
"Turfalgae","N2",30,1.315
"Red mat","N2",30,1.361
"Red hairy","N2",30,1.45
"Black balls","N2",30,1.264
"Orange mat","N2",30,1.644
"Poritis asteriodes","N2",30,1.228
"Madracis mirabilis","N2",30,"NA"
"Aka","N2",30,1.083
"CCA","N2",30,1.145
"Lobophora variegata","N3",30,1.21
"Dictyota pinnatifida","N3",30,1.433
"Halimeda opuntia","N3",30,"NA"
"Turfalgae","N3",30,1.259
"Red mat","N3",30,1.585
"Red hairy","N3",30,1.536
"Black balls","N3",30,1.24
"Orange mat","N3",30,1.329
"Poritis asteriodes","N3",30,1.26
"Madracis mirabilis","N3",30,"NA"
"Aka","N3",30,1.084
"CCA","N3",30,1.233
"Lobophora variegata","C",30,1.086
"Dictyota pinnatifida","C",30,1.088
"Halimeda opuntia","C",30,"NA"
"Turfalgae","C",30,1.084
"Red mat","C",30,1.096
"Red hairy","C",30,1.084
"Black balls","C",30,1.096
"Orange mat","C",30,1.093
"Poritis asteriodes","C",30,1.084
"Madracis mirabilis","C",30,"NA"
"Aka","C",30,1.083
"CCA","C",30,1.082
"Lobophora variegata","N1",30,1.223
"Dictyota pinnatifida","N1",30,1.363
"Halimeda opuntia","N1",30,"NA"
"Turfalgae","N1",30,1.358
"Red mat","N1",30,1.249
"Red hairy","N1",30,1.5
"Black balls","N1",30,1.447
"Orange mat","N1",30,1.546
"Poritis asteriodes","N1",30,1.208
"Madracis mirabilis","N1",30,"NA"
"Aka","N1",30,1.084
"CCA","N1",30,1.21
"Lobophora variegata","N2",30,1.231
"Dictyota pinnatifida","N2",30,1.345
"Halimeda opuntia","N2",30,"NA"
"Turfalgae","N2",30,1.305
"Red mat","N2",30,1.166
"Red hairy","N2",30,1.49
"Black balls","N2",30,1.422
"Orange mat","N2",30,1.208
"Poritis asteriodes","N2",30,1.202
"Madracis mirabilis","N2",30,"NA"
